codigo,descripcion,costo,ganancia,iva,departamento,NombreImagen
779001001,Venda Elástica Flebológica,1500,30,21,SALUD,779001001.jpg
779001002,Barbijo Descartable Vida Plena,200,30,21,SALUD,779001002.jpg
779001003,Cinta Kinesiológica K5.0,3500,30,21,SALUD,779001003.jpg
779002001,Cojín Dona Medicalal,8500,30,21,BIENESTAR,779002001.jpg
779002002,Asiento Dual Confort Schwartz,18500,30,21,BIENESTAR,779002002.jpg
779002003,Apósitos Nosotras,1200,30,21,BIENESTAR,779002003.jpg
779002004,Crema Vaselina,950,30,21,BIENESTAR,779002004.jpg
779002005,Crema Foot Care,2100,30,21,BIENESTAR,779002005.jpg
779003001,Catéteres Especializados,4500,30,21,EQUIPAMIENTO,779003001.jpg
779003002,Bola de Masaje,3100,30,21,EQUIPAMIENTO,779003002.jpg
779003003,Cojín Dona Pequeño,6200,30,21,EQUIPAMIENTO,779003003.jpg
779003004,K-Stat Suministro de Soporte,12000,30,21,EQUIPAMIENTO,779003004.jpg
